Airline,Domestic,International,Month,Year
UNITED,20822630,7745084,9,2015
DELTA,21494110,5233684,9,2015
JETBLUE AIRWAYS,12797842,3265582,9,2015
AMERICAN,10043970,2817751,9,2015
US AIRWAYS,4988801,0,9,2015
SOUTHWEST AIRLINES,3894752,0,9,2015
SPIRIT AIRLINES,2323348,0,9,2015
VIRGIN AMERICA,1702993,0,9,2015
BRITISH AIRWAYS,0,1689836,9,2015
AIR CANADA,0,1549929,9,2015
LUFTHANSA,0,1105871,9,2015
EMIRATES AIRLINES,0,988378,9,2015
VIRGIN ATLANTIC,0,957525,9,2015
AIR FRANCE,0,950094,9,2015
CATHAY PACIFIC,0,841231,9,2015
CARIBBEAN AIR,0,603806,9,2015
EL AL,0,586041,9,2015
ALITALIA,0,570666,9,2015
AEROMEXICO,0,526720,9,2015
SWISS INT'L AIR LINES LT,0,508954,9,2015
UNITED,20099466,7684113,9,2014
DELTA,19868076,5081949,9,2014
JETBLUE AIRWAYS,11905148,2978867,9,2014
AMERICAN,9776414,3152417,9,2014
US AIRWAYS,4922849,0,9,2014
SOUTHWEST AIRLINES,3529782,0,9,2014
SPIRIT AIRLINES,2320927,0,9,2014
BRITISH AIRWAYS,0,1702437,9,2014
AIR CANADA,0,1447822,9,2014
VIRGIN AMERICA,1419685,0,9,2014
LUFTHANSA,0,1099393,9,2014
VIRGIN ATLANTIC,0,984462,9,2014
AIR FRANCE,0,893953,9,2014
EMIRATES AIRLINES,0,810530,9,2014
CATHAY PACIFIC,0,796980,9,2014
CARIBBEAN AIR,0,564336,9,2014
EL AL,0,563837,9,2014
ALITALIA,0,555857,9,2014
SWISS INT'L AIR LINES LT,0,524509,9,2014
TURKISH AIR,0,512255,9,2014
UNITED,19853295,7545567,3,2013
DELTA,18719024,4452401,3,2013
JETBLUE AIRWAYS,12161855,2443140,3,2013
AMERICAN,10250350,3689264,3,2013
US AIRWAYS,5020411,0,3,2013
SOUTHWEST AIRLINES,3099935,0,3,2013
BRITISH AIRWAYS,0,1564220,3,2013
AIR CANADA,0,1337310,3,2013
SPIRIT AIRLINES,1166776,0,3,2013
LUFTHANSA,0,1050093,3,2013
VIRGIN AMERICA,1022698,0,3,2013
VIRGIN ATLANTIC,0,939505,3,2013
AIR FRANCE,0,901293,3,2013
CARIBBEAN AIR,0,721372,3,2013
CATHAY PACIFIC,0,632632,3,2013
EL AL,0,551825,3,2013
EMIRATES AIRLINES & SK,0,548848,3,2013
SWISS INT'L AIR LINES LT,0,529026,3,2013
ALITALIA,0,489702,3,2013
TURKISH AIR,0,447302,3,2013
UNITED,23058493,8113025,7,2017
DELTA,24260218,5575389,7,2017
JETBLUE AIRWAYS,13576141,3649816,7,2017
AMERICAN,13903732,2643669,7,2017
SOUTHWEST AIRLINES,4170969,0,7,2017
VIRGIN AMERICA,1965323,0,7,2017
AIR CANADA,0,1860723,7,2017
SPIRIT AIRLINES,1778570,0,7,2017
BRITISH AIRWAYS,0,1644935,7,2017
EMIRATES AIRLINES,0,1124763,7,2017
LUFTHANSA,0,1124480,7,2017
AIR FRANCE,0,1042687,7,2017
VIRGIN ATLANTIC,0,989842,7,2017
CATHAY PACIFIC,0,798693,7,2017
NORWEGIAN AIR,0,753068,7,2017
US AIRWAYS,691660,0,7,2017
EL AL,0,615047,7,2017
AER LINGUS,0,606526,7,2017
ALITALIA,0,588866,7,2017
ALASKA AIRLINES,539017,0,7,2017
CONTINENTAL,17060498,7530456,3,2010
DELTA,15521057,4058620,3,2010
JETBLUE AIRWAYS,11865434,1691220,3,2010
AMERICAN,9514805,3500797,3,2010
US AIRWAYS,6149585,7963,3,2010
UNITED,3689674,184,3,2010
BRITISH AIRWAYS,0,1433821,3,2010
AIRTRAN AIRWAYS,1271628,0,3,2010
AIR FRANCE,0,1054783,3,2010
AIR CANADA,0,1050135,3,2010
LUFTHANSA,0,1036733,3,2010
SPIRIT AIRLINES,986195,0,3,2010
VIRGIN AMERICA,911438,0,3,2010
VIRGIN ATLANTIC,0,900037,3,2010
EL AL,0,556823,3,2010
FRONTIER AIRLINES,545246,0,3,2010
CATHAY PACIFIC,0,528861,3,2010
ALITALIA,0,508385,3,2010
AIR INDIA,0,437574,3,2010
SOUTHWEST AIRLINES,436982,0,3,2010
UNITED,20704520,7738785,8,2015
DELTA,21371971,5215295,8,2015
JETBLUE AIRWAYS,12731010,3229292,8,2015
AMERICAN,9939819,2825961,8,2015
US AIRWAYS,4975290,0,8,2015
SOUTHWEST AIRLINES,3847265,0,8,2015
SPIRIT AIRLINES,2319829,0,8,2015
BRITISH AIRWAYS,0,1710760,8,2015
VIRGIN AMERICA,1680595,0,8,2015
AIR CANADA,0,1541051,8,2015
LUFTHANSA,0,1108362,8,2015
EMIRATES AIRLINES,0,971124,8,2015
VIRGIN ATLANTIC,0,956968,8,2015
AIR FRANCE,0,922459,8,2015
CATHAY PACIFIC,0,843356,8,2015
CARIBBEAN AIR,0,598440,8,2015
EL AL,0,585017,8,2015
ALITALIA,0,570449,8,2015
AEROMEXICO,0,522573,8,2015
SWISS INT'L AIR LINES LT,0,507868,8,2015
CONTINENTAL,16794810,7668135,9,2010
DELTA,15746278,4333990,9,2010
JETBLUE AIRWAYS,11630959,1935718,9,2010
AMERICAN,9664274,3592136,9,2010
US AIRWAYS,6078088,4066,9,2010
UNITED,3641002,184,9,2010
AIRTRAN AIRWAYS,1275172,0,9,2010
BRITISH AIRWAYS,0,1248486,9,2010
AIR CANADA,0,1118360,9,2010
LUFTHANSA,0,1037247,9,2010
SPIRIT AIRLINES,1034217,0,9,2010
AIR FRANCE,0,1020465,9,2010
VIRGIN ATLANTIC,0,925387,9,2010
VIRGIN AMERICA,884329,0,9,2010
SOUTHWEST AIRLINES,610378,0,9,2010
EL AL,0,564960,9,2010
CATHAY PACIFIC,0,550424,9,2010
ALITALIA,0,517660,9,2010
AIR INDIA,0,431837,9,2010
EMIRATES AIRLINES & SK,0,426514,9,2010
UNITED,21783619,8031832,8,2016
DELTA,22820385,5595231,8,2016
JETBLUE AIRWAYS,13350421,3574194,8,2016
AMERICAN,11100132,2590943,8,2016
US AIRWAYS,4732181,39284,8,2016
SOUTHWEST AIRLINES,4100764,0,8,2016
SPIRIT AIRLINES,2427286,0,8,2016
VIRGIN AMERICA,1863777,0,8,2016
BRITISH AIRWAYS,0,1669867,8,2016
AIR CANADA,0,1663248,8,2016
LUFTHANSA,0,1093219,8,2016
EMIRATES AIRLINES,0,1066867,8,2016
VIRGIN ATLANTIC,0,985799,8,2016
AIR FRANCE,0,970442,8,2016
CATHAY PACIFIC,0,828983,8,2016
EL AL,0,607049,8,2016
ALITALIA,0,561823,8,2016
AEROMEXICO,0,539660,8,2016
TURKISH AIR,0,539168,8,2016
CARIBBEAN AIR,0,538111,8,2016
UNITED,22942923,7953012,6,2017
DELTA,24149420,5602801,6,2017
JETBLUE AIRWAYS,13488823,3604791,6,2017
AMERICAN,13818857,2640997,6,2017
SOUTHWEST AIRLINES,4141268,0,6,2017
