Airline,Domestic,International,Month,Year
UNITED,20822630,7745084,9,2015
DELTA,21494110,5233684,9,2015
JETBLUE AIRWAYS,12797842,3265582,9,2015
AMERICAN,10043970,2817751,9,2015
US AIRWAYS,4988801,0,9,2015
SOUTHWEST AIRLINES,3894752,0,9,2015
SPIRIT AIRLINES,2323348,0,9,2015
VIRGIN AMERICA,1702993,0,9,2015
BRITISH AIRWAYS,0,1689836,9,2015
AIR CANADA,0,1549929,9,2015
LUFTHANSA,0,1105871,9,2015
EMIRATES AIRLINES,0,988378,9,2015
VIRGIN ATLANTIC,0,957525,9,2015
AIR FRANCE,0,950094,9,2015
CATHAY PACIFIC,0,841231,9,2015
CARIBBEAN AIR,0,603806,9,2015
EL AL,0,586041,9,2015
ALITALIA,0,570666,9,2015
AEROMEXICO,0,526720,9,2015
SWISS INT'L AIR LINES LT,0,508954,9,2015
UNITED,23058493,8113025,7,2017
DELTA,24260218,5575389,7,2017
JETBLUE AIRWAYS,13576141,3649816,7,2017
AMERICAN,13903732,2643669,7,2017
SOUTHWEST AIRLINES,4170969,0,7,2017
VIRGIN AMERICA,1965323,0,7,2017
AIR CANADA,0,1860723,7,2017
SPIRIT AIRLINES,1778570,0,7,2017
BRITISH AIRWAYS,0,1644935,7,2017
EMIRATES AIRLINES,0,1124763,7,2017
LUFTHANSA,0,1124480,7,2017
AIR FRANCE,0,1042687,7,2017
VIRGIN ATLANTIC,0,989842,7,2017
CATHAY PACIFIC,0,798693,7,2017
NORWEGIAN AIR,0,753068,7,2017
US AIRWAYS,691660,0,7,2017
EL AL,0,615047,7,2017
AER LINGUS,0,606526,7,2017
ALITALIA,0,588866,7,2017
ALASKA AIRLINES,539017,0,7,2017
UNITED,20704520,7738785,8,2015
DELTA,21371971,5215295,8,2015
JETBLUE AIRWAYS,12731010,3229292,8,2015
AMERICAN,9939819,2825961,8,2015
US AIRWAYS,4975290,0,8,2015
SOUTHWEST AIRLINES,3847265,0,8,2015
SPIRIT AIRLINES,2319829,0,8,2015
BRITISH AIRWAYS,0,1710760,8,2015
VIRGIN AMERICA,1680595,0,8,2015
AIR CANADA,0,1541051,8,2015
LUFTHANSA,0,1108362,8,2015
EMIRATES AIRLINES,0,971124,8,2015
VIRGIN ATLANTIC,0,956968,8,2015
AIR FRANCE,0,922459,8,2015
CATHAY PACIFIC,0,843356,8,2015
CARIBBEAN AIR,0,598440,8,2015
EL AL,0,585017,8,2015
ALITALIA,0,570449,8,2015
AEROMEXICO,0,522573,8,2015
SWISS INT'L AIR LINES LT,0,507868,8,2015
UNITED,21783619,8031832,8,2016
DELTA,22820385,5595231,8,2016
JETBLUE AIRWAYS,13350421,3574194,8,2016
AMERICAN,11100132,2590943,8,2016
US AIRWAYS,4732181,39284,8,2016
SOUTHWEST AIRLINES,4100764,0,8,2016
SPIRIT AIRLINES,2427286,0,8,2016
VIRGIN AMERICA,1863777,0,8,2016
BRITISH AIRWAYS,0,1669867,8,2016
AIR CANADA,0,1663248,8,2016
LUFTHANSA,0,1093219,8,2016
EMIRATES AIRLINES,0,1066867,8,2016
VIRGIN ATLANTIC,0,985799,8,2016
AIR FRANCE,0,970442,8,2016
CATHAY PACIFIC,0,828983,8,2016
EL AL,0,607049,8,2016
ALITALIA,0,561823,8,2016
AEROMEXICO,0,539660,8,2016
TURKISH AIR,0,539168,8,2016
CARIBBEAN AIR,0,538111,8,2016
UNITED,22942923,7953012,6,2017
DELTA,24149420,5602801,6,2017
JETBLUE AIRWAYS,13488823,3604791,6,2017
AMERICAN,13818857,2640997,6,2017
SOUTHWEST AIRLINES,4141268,0,6,2017
VIRGIN AMERICA,1955902,0,6,2017
AIR CANADA,0,1846467,6,2017
SPIRIT AIRLINES,1691303,0,6,2017
BRITISH AIRWAYS,0,1656890,6,2017
LUFTHANSA,0,1129059,6,2017
EMIRATES AIRLINES,0,1104232,6,2017
AIR FRANCE,0,1025314,6,2017
VIRGIN ATLANTIC,0,979386,6,2017
US AIRWAYS,970696,0,6,2017
CATHAY PACIFIC,0,805626,6,2017
EL AL,0,616391,6,2017
AER LINGUS,0,596701,6,2017
ALITALIA,0,585752,6,2017
SAS,0,534250,6,2017
WESTJET,0,526909,6,2017
UNITED,21970122,8057714,10,2016
DELTA,23536728,5612783,10,2016
JETBLUE AIRWAYS,13378281,3604617,10,2016
AMERICAN,11577264,2551973,10,2016
US AIRWAYS,4140351,39284,10,2016
SOUTHWEST AIRLINES,4109854,0,10,2016
SPIRIT AIRLINES,2428243,0,10,2016
VIRGIN AMERICA,1887432,0,10,2016
AIR CANADA,0,1704324,10,2016
BRITISH AIRWAYS,0,1677725,10,2016
LUFTHANSA,0,1104062,10,2016
EMIRATES AIRLINES,0,1075287,10,2016
AIR FRANCE,0,965596,10,2016
VIRGIN ATLANTIC,0,964052,10,2016
CATHAY PACIFIC,0,827820,10,2016
EL AL,0,608838,10,2016
ALITALIA,0,556068,10,2016
TURKISH AIR,0,547269,10,2016
AEROMEXICO,0,540313,10,2016
SAS,0,537340,10,2016
UNITED,22849029,8008165,4,2017
DELTA,23943460,5581295,4,2017
JETBLUE AIRWAYS,13522012,3593711,4,2017
AMERICAN,13518875,2625139,4,2017
SOUTHWEST AIRLINES,4130778,0,4,2017
VIRGIN AMERICA,1932471,0,4,2017
AIR CANADA,0,1820407,4,2017
US AIRWAYS,1693152,0,4,2017
BRITISH AIRWAYS,0,1687789,4,2017
SPIRIT AIRLINES,1624230,0,4,2017
LUFTHANSA,0,1132661,4,2017
EMIRATES AIRLINES,0,1099107,4,2017
AIR FRANCE,0,992427,4,2017
VIRGIN ATLANTIC,0,967179,4,2017
CATHAY PACIFIC,0,810424,4,2017
EL AL,0,619752,4,2017
ALITALIA,0,581872,4,2017
AER LINGUS,0,565568,4,2017
AEROMEXICO,0,548216,4,2017
SAS,0,537167,4,2017
UNITED,21449765,7930700,3,2016
DELTA,22575542,5444201,3,2016
JETBLUE AIRWAYS,13245198,3486663,3,2016
AMERICAN,10271492,2633898,3,2016
US AIRWAYS,5222712,0,3,2016
SOUTHWEST AIRLINES,4099232,0,3,2016
SPIRIT AIRLINES,2362867,0,3,2016
VIRGIN AMERICA,1812551,0,3,2016
BRITISH AIRWAYS,0,1669967,3,2016
AIR CANADA,0,1600138,3,2016
LUFTHANSA,0,1102254,3,2016
EMIRATES AIRLINES,0,1067895,3,2016
VIRGIN ATLANTIC,0,992375,3,2016
AIR FRANCE,0,978968,3,2016
CATHAY PACIFIC,0,840552,3,2016
EL AL,0,597951,3,2016
CARIBBEAN AIR,0,576798,3,2016
ALITALIA,0,576386,3,2016
TURKISH AIR,0,536528,3,2016
AEROMEXICO,0,530532,3,2016
UNITED,22094955,8039615,11,2016
DELTA,23569125,5570075,11,2016
JETBLUE AIRWAYS,13447917,3605874,11,2016
AMERICAN,11970666,2557527,11,2016
SOUTHWEST AIRLINES,4126757,0,11,2016
US AIRWAYS,3736463,39284,11,2016
SPIRIT AIRLINES,2479280,0,11,2016
VIRGIN AMERICA,1900778,0,11,2016
